Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2021-04-07;09:53:29;-29.04;-176.56;10; ;Mw;6.0;KERMADEC ISLANDS REGION;2021-04-07 12:27;967644;
2021-04-05;07:37:53;-37.61;179.54;27; ;Mw;6.0;OFF E. COAST OF N. ISLAND, N.Z.;2021-04-05 19:37;966920;
2021-04-03;18:42:02;-5.10;128.11;338; ;Mw;6.0;BANDA SEA;2021-04-03 19:58;966536;
2021-04-03;01:16:39;-58.05;-7.92;10;f;Mw;6.6;EAST OF SOUTH SANDWICH ISLANDS;2021-04-03 07:27;966231;
2021-04-01;15:11:18;-21.87;-179.34;598;f;Mw;6.0;FIJI REGION;2021-04-01 15:35;965752;
2021-04-01;09:56:36;-29.98;-177.69;10;f;Mw;6.3;KERMADEC ISLANDS, NEW ZEALAND;2021-04-01 10:25;965652;
2021-03-20;09:09:44;38.56;141.51;40; ;Mw;7.0;NEAR EAST COAST OF HONSHU, JAPAN;2021-03-22 09:17;961496;
2021-03-20;05:19:31;-59.65;150.21;10;f;Mw;6.1;WEST OF MACQUARIE ISLAND;2021-03-20 07:52;961440;
2021-03-18;00:04:06;36.92;5.21;10; ;Mw;6.0;NORTHERN ALGERIA;2021-03-18 07:53;960655;
2021-03-16;18:38:23;54.80;163.13;20;f;Mw;6.6;OFF EAST COAST OF KAMCHATKA;2021-03-17 09:42;960222;
2021-03-14;12:05:14;-59.75;-29.46;20;f;Mw;6.0;SOUTH SANDWICH ISLANDS REGION;2021-03-14 21:06;959427;
2021-03-13;14:04:59;-29.86;-177.55;20; ;Mw;6.0;KERMADEC ISLANDS, NEW ZEALAND;2021-03-13 14:56;959070;
2021-03-06;13:12:05;-28.25;-177.68;10; ;Mw;6.1;KERMADEC ISLANDS REGION;2021-03-06 19:25;956191;
2021-03-06;12:05:22;-28.28;-177.82;10; ;Mw;6.2;KERMADEC ISLANDS REGION;2021-03-06 19:35;956166;
2021-03-06;10:34:48;-28.23;-177.75;10; ;Mw;6.1;KERMADEC ISLANDS REGION;2021-03-06 19:37;956136;
2021-03-06;07:16:29;-28.45;-176.90;10; ;Mw;6.1;KERMADEC ISLANDS REGION;2021-03-06 19:52;956071;
2021-03-06;00:16:21;-37.56;179.58;10;f;Mw;6.3;OFF E. COAST OF N. ISLAND, N.Z.;2021-03-06 20:24;955884;
2021-03-05;14:24:50;-29.02;-176.30;10;f;Mw;6.2;KERMADEC ISLANDS REGION;2021-03-05 14:54;955676;
2021-03-04;23:12:57;-28.52;-176.70;10;f;mb;6.2;KERMADEC ISLANDS REGION;2021-03-05 07:57;955258;
